1,1088 Email Press,http://1088.email/
2,2425 Publishers,http://2425publishers.org/
3,A M Publishers,http://ampublisher.com/index.html
4,ABC Journals,http://www.abcjournals.net/
5,Abhinav,http://www.abhinavjournal.com/
6,Academe Research Journals,http://www.academeresearchjournals.org/
7,Academia Publishing,http://academiapublishing.org/index.htm
8,Academia Research,http://academiaresearch.org/
9,Academia Scholarly Journals (ASJ),http://www.academiascholarlyjournal.org/
10,Academic and Business Research Institute,http://www.aabri.com/
11,Academic and Scientific Publishing,http://acascipub.com/
12,Academic Direct Publishing House,http://ph.academicdirect.org/
13,Academic Journals,http://www.academicjournals.org/
14,Academic Journals and Research ACJAR,http://www.acjar.org/index.html
15,Academic Journals Online (AJO),http://www.academicjournalsonline.co.in/
16,"Academic Journals, Inc.",http://www.academicjournalsinc.com/
17,Academic Knowledge and Research Publishing,http://www.akrpub.com/
18,Academic Organization for Advancement of Strategic and International Studies (Academic OASIS),http://www.academicoasis.org/
19,"Academic Publications, Ltd.",http://www.acadpubl.eu/index.html
20,"Academic Publications, Prime Publications (also here)",https://www.academicpublications.net/
21,"Academic Research in Science, Engineering, Art and Management (ARSEAM)",http://www.arseam.com/
22,Academic Research Journals,http://www.academicresearchjournals.org/index.htm
23,Academic Research Publishers (ARPUB),http://acrpub.com/index.php
24,Academic Research Publishing Agency,http://www.arpapress.com/
25,Academic Research Publishing Group,http://arpgweb.com/index.php
26,Academic Research Publishing House,http://www.acadrp.org/
27,Academic Scholars Publishing House,http://academic-publishing-house.com/
28,Academic Sciences,http://www.ijaponline.org/
29,Academic Solutions (union of Academic Publications Ltd. and Dynamic Publishers),https://acadsol.eu/
30,Academic Star Publishing Company (also here),http://www.academicstar.us/index.asp
31,Academic Web Publishers (AWP),http://academicwebpublishers.org/
32,Academic World Education & Research Center,http://www.awer-center.org/journals.htm
33,AcademicDirect Publishing House,http://ph.academicdirect.org/
34,Academicians’ Research Center (ARC) (ARC Journals),http://www.arcjournals.org/index.php
35,Academics World,http://academicsworld.org/
36,Academy for Environment and Life Sciences,http://aelsindia.com/
37,Academy Journals,http://www.academyjournals.net/
38,Academy of Business & Scientific Research (ABSR),http://www.absronline.org/
39,Academy of IRMBR International Research in Management and Business Realities,http://www.academyirmbr.com/
40,Academy of Knowledge Process,http://akpinsight.webs.com/
41,Academy of Science and Engineering (ASE),http://www.scienceengineeringacademy.org/asesite/
42,Academy of Science and Social Science (ASSS),http://www.asss-web.com/
43,Academy of Scientific and Applied Research (ASAAR),http://asaarjournals.com/
44,Academy Publish,http://www.academypublish.org/
45,Access International Journals,http://www.accessinterjournals.org/
46,Access Journals,http://www.accessjournals.org/
47,Access Publishers,http://www.accesspublishers.org/
48,ACT Publishing,http://www.ghrnet.org/
49,ACTA Press,http://www.actapress.com/
50,Acta Scientific,https://actascientific.com/journals.php
51,Acta Scientifica,http://actascientifica.com/index.php
52,AD Publication,http://www.adpublication.org/
53,AD Publications,http://adpublications.org/
54,Ada Lovelace Publications,http://www.ada-lovelace.co.uk/
55,Advance Educational Institute & Research Centre (AEIRC),http://aeirc-edu.com/
56,Advance Journals,http://advancejournals.org/
57,Advanced Institute of Convergence Information Technology (AICIT),http://www.aicit.org/publications.html
58,Advanced Journals,http://advancedjournals.org/index.htm
59,Advanced Research Journals,http://www.advancedresearchjournals.org/
60,Advanced Research Publications,http://adrpublications.in/
61,Advanced Research Society for Science and Sociology (ARSSS),http://arsss.org/
62,Advanced Scholars Journals,http://advancedscholarsjournals.org/
63,Advanced Science and Engineering Technology Institute (ASET),http://www.asetrc.org/
64,Advanced Science Research Journals,http://advancedscienceresearchjournals.org/
65,Advanced Technology & Science (ATScience),http://atscience.org/
66,Advancement and Development in Technology International (Aditi),http://aditisci.com/index.php
67,Advancements in Science,http://www.ajournals.com/
68,Adyan Academic Press,http://www.adyanacademicpress.com/index.php
69,AENSI (American-Eurasian Network for Scientific Information),http://www.aensiweb.com/index.html
70,AEPress,https://www.elis.sk/
71,African Research Review (AFRREV),http://afrrevjo.net/
72,AgiAl Publishing House,http://www.agialpress.com/
73,Agropub,http://agropub.com/index.html
74,AGU Publications,http://www.agupublication.com/
75,AI Publications,http://aipublications.com/
76,AINSTIN Knowledge Hub,http://ainstin.com/
77,AIRCC Publishing Corporation,http://airccse.org/index.php
78,Aizeon Publishers,http://www.aizeonpublishers.net/aboutus.html
79,AJPO Journals,https://ajpojournals.org/
80,Akademia Baru Publishing (previously Penerbit Akademia Baru),http://www.akademiabaru.com/
81,Akademik Plus Publication,
82,Albert Science International Organization,http://albertscience.com/
83,Allied Academies,http://www.alliedacademies.org/
84,Allied Journals,http://www.alliedjournals.com/
85,Ambit Journals,http://ambitjournals.org/
86,AME Publishing Company (new website here),http://www.amepc.org/
87,American Academic & Scholarly Research Center (AASRC),http://aasrc.org/
88,American Association for Science and Technology (AASCIT),http://www.aascit.org/home/index
89,American Journal,http://www.amjournals.org/
90,American Research Institute for Policy Development,http://aripd.org/
91,American Research Journals,http://www.arjonline.org/
92,American Research Publications,http://www.arepub.com/
93,American Scholarly Research Association,http://www.asraresearch.org/
94,American Scientific Publishers,http://www.aspbs.com/
95,American Scientific Research Journals,http://www.americanscientificresearchjournals.org/
96,American Society of Registered Nurses,http://www.asrn.org/
97,American Society of Science and Engineering,http://www.as-se.org/
98,American V-King Scientific Publishing,http://www.vkingpub.com/
99,"Amoghsiddhi Education Society (AES) (AES Journals in Engineering Technology, Management, and Sciences - AES E-JOURNALS) (also here)",http://aessangli.in/
100,AMS Central,http://www.amscentral.com/
101,Andrew John Publishing Inc.,http://www.andrewjohnpublishing.org/open-access-publications.php
102,Annex Publishers,http://www.annexpublishers.com/
103,ansinet (Asian Network for Scientific Information),http://www.ansinet.com/
104,Ant Journals (Antjournals) (related to Nobel International Journals),http://www.antjournals.org/
105,Antarctic Journals,http://www.domainsmoon.com/
106,Aperito Online Publishing,http://aperito.org/index.php
107,Apex Journal,http://apexjournal.org/
108,Applied Science Innovations,http://www.applied-science-innovations.com/
109,APST Publication,http://www.apst.co.in/
110,Arabian Group of Journals (AGJ),http://www.arabianjbmr.com/index.php
111,Aradhya International Publication,http://puneresearch.com/home
112,ARC Journals,https://www.arcjournals.org/
113,Archers & Elevators Publishing House,http://www.aeph.in/
114,Archyworld,http://www.archyworld.com/
115,ARDA Conference,https://www.ardaconference.com/
116,Arena Of Sciences,http://arenaofsciences.com/
117,ARPN Journals,http://arpnjournals.com/
118,AS Publishers,http://aspublishers.com/
119,Asclepius Open,https://asclepiusopen.com/
120,ASD Publisher,http://asdpub.com/
121,Ashdin Publishing,http://www.ashdin.com/
122,AshEse Visionary,http://www.ashese.co.uk/
123,Asia Pacific Institute of Advanced Research,http://apiar.org.au/
